Test-ID;Kategorie;Anforderung;Vorbedingung;Testdaten;Schritte;Erwartetes_Resultat;Nachbedingung;Automatisiert_JN
TC-01;Positiv;Health Check liefert Zustand und Version;API ist gestartet;GET /api/health;GET-Anfrage an /api/health senden;HTTP 200 und Body enthält status ok sowie version 1.4.0-rc1;Datenbestand bleibt unverändert;J
TC-02;Positiv und Authentifizierung;Gültige Anmeldedaten liefern Token und Benutzer;API ist gestartet und Alice ist nicht gesperrt;alice@example.test und Start123!;POST /api/login mit gültiger E-Mail und gültigem Passwort senden;HTTP 200 sowie token-alice und Benutzerrolle employee;Fehlversuche von Alice stehen auf 0;J
TC-03;Negativ und Authentifizierung;Falsche Anmeldedaten werden abgewiesen;API ist gestartet und Alice ist nicht gesperrt;alice@example.test und Falsch123!;POST /api/login mit falschem Passwort senden;HTTP 401 und verständliche Fehlermeldung ohne Token;Fehlversuche von Alice wurden um 1 erhöht;J
TC-04;Grenzwert und Security;Konto wird nach fünf aufeinanderfolgenden Fehlversuchen gesperrt;API ist gestartet und Alice hat 0 Fehlversuche;alice@example.test und fünfmal Falsch123!;Fünf fehlerhafte Loginanfragen senden und danach einen weiteren Loginversuch durchführen;Konto ist nach dem fünften Fehlversuch gesperrt und der weitere Loginversuch liefert HTTP 423;Alice bleibt gesperrt;J
TC-05;Positiv und Grenzwert;Erfolgreicher Login setzt vorherige Fehlversuche zurück;API wurde neu gestartet und Alice hat 0 Fehlversuche;Viermal Falsch123! danach Start123! danach erneut viermal Falsch123! und abschliessend Start123!;Vier falsche Logins senden danach erfolgreich anmelden anschliessend vier weitere falsche Logins und erneut erfolgreich anmelden;Beide erfolgreichen Anmeldungen liefern HTTP 200 weil der erste erfolgreiche Login den Zähler auf 0 zurücksetzt;Alice ist nicht gesperrt und der Fehlversuchszähler steht auf 0;J
TC-06;Security und Authentifizierung;Taskzugriff ohne Token ist nicht erlaubt;API ist gestartet;GET /api/tasks ohne Authorization-Header;GET-Anfrage ohne Token senden;HTTP 401 und keine Taskdaten im Response-Body;Datenbestand bleibt unverändert;J
TC-07;Security und Authentifizierung;Taskzugriff mit ungültigem Token ist nicht erlaubt;API ist gestartet;Authorization Bearer token-ungueltig;GET /api/tasks mit ungültigem Token senden;HTTP 401 und keine Taskdaten im Response-Body;Datenbestand bleibt unverändert;N
TC-08;Security und Autorisierung;Mitarbeiter sieht nur eigene Tasks;API ist gestartet und t1 gehört Alice und t2 gehört Bob;Authorization Bearer token-alice;GET /api/tasks als Alice senden;HTTP 200 und Response enthält nur t1 aber nicht t2;Datenbestand bleibt unverändert;J
TC-09;Security und Autorisierung;Mitarbeiter darf fremden Task nicht bearbeiten;API ist gestartet und t1 gehört Alice;Bob-Token und PATCH /api/tasks/t1 mit Status DONE;PATCH-Anfrage als Bob für Task t1 senden;HTTP 403 und t1 bleibt unverändert;Status von t1 bleibt OPEN;J
TC-10;Positiv und Autorisierung;Administrator darf fremden Task bearbeiten;API ist gestartet und t1 gehört Alice;Admin-Token und PATCH /api/tasks/t1 mit Status DONE;PATCH-Anfrage als Administrator für Task t1 senden;HTTP 200 und Status von t1 ist DONE;Status von t1 ist DONE;N
TC-11;Positiv;Task wird mit Standardpriorität erstellt;API ist gestartet und Alice ist authentifiziert;Titel Neue Aufgabe ohne priority;POST /api/tasks als Alice ohne priority senden;HTTP 201 und neuer Task hat priority MEDIUM status OPEN und ownerId u1;Neuer Task gehört Alice und ist gespeichert;J
TC-12;Negativ;Task ohne Titel wird abgewiesen;API ist gestartet und Alice ist authentifiziert;POST /api/tasks mit priority HIGH aber ohne title;POST-Anfrage ohne title senden;HTTP 400 mit verständlicher Validierungsfehlermeldung;Es wurde kein neuer Task erstellt;N
TC-13;Grenzwert;Titel mit weniger als drei Zeichen wird abgewiesen;API ist gestartet und Alice ist authentifiziert;title AB;POST /api/tasks mit zweistelligem Titel senden;HTTP 400 mit Hinweis auf ungültige Titellänge;Es wurde kein neuer Task erstellt;J
TC-14;Grenzwert;Titel mit genau 100 Zeichen wird akzeptiert;API ist gestartet und Alice ist authentifiziert;title mit genau 100 Zeichen und priority MEDIUM;POST /api/tasks mit einem Titel aus genau 100 Zeichen senden;HTTP 201 und der Task enthält den vollständigen Titel;Neuer Task wurde erstellt;N
TC-15;Negativ und Äquivalenzklasse;Ungültige Priorität wird abgewiesen;API ist gestartet und Alice ist authentifiziert;title Testaufgabe und priority URGENT;POST /api/tasks mit nicht erlaubter Priorität senden;HTTP 400 mit verständlicher Validierungsfehlermeldung;Es wurde kein neuer Task erstellt;J
TC-16;Negativ und Security;Ungültiges JSON wird sicher behandelt;API ist gestartet und Alice ist authentifiziert;Unvollständiger JSON-Body mit gültigem Alice-Token;POST /api/tasks mit syntaktisch ungültigem JSON senden;HTTP 400 ohne Stacktrace Dateipfad oder interne Implementierungsdetails und API bleibt erreichbar;Es wurde kein Task erstellt und die API läuft weiter;J
