Test-ID;Tester;Datum_Uhrzeit;Version;Umgebung;Soll;Ist;Resultat_PASS_FAIL;Defect-ID;Evidenz
TC-13;Sladjan;12.09.2026;1.4.0-rc1;Windows Node.js 20+;Titel mit zwei Zeichen wird abgewiesen;Keine Validierungsfehlermeldung erzeugt;FAIL;DEF-04;Evidenz/npm_test_vor_fix.txt
TC-11;Sladjan;12.09.2026;1.4.0-rc1;Windows Node.js 20+;Fehlende Priorität ergibt MEDIUM;Task wurde mit LOW erstellt;FAIL;DEF-03;Evidenz/npm_test_vor_fix.txt
TC-09;Sladjan;12.09.2026;1.4.0-rc1;Windows Node.js 20+;Bob darf Alices Task nicht bearbeiten;Berechtigungsprüfung liefert true;FAIL;DEF-02;Evidenz/npm_test_vor_fix.txt
TC-08;Sladjan;12.09.2026;1.4.0-rc1;Windows Node.js 20+;Alice sieht nur ihren eigenen Task;Alice erhält beide vorhandenen Tasks;FAIL;DEF-01;Evidenz/npm_test_vor_fix.txt
TC-07;Sladjan;12.09.2026;1.4.0-rc1;Windows Node.js 20+;Ungültiger Token liefert HTTP 401;HTTP 401 und keine Taskdaten;PASS;;Evidenz/npm_test_vor_fix.txt
TC-16;Sladjan;12.09.2026;1.4.0-rc1;Windows Node.js 20+;Ungültiges JSON liefert HTTP 400 ohne interne Details;HTTP 500 mit internen Details;FAIL;DEF-05;Evidenz/npm_test_vor_fix.txt
TC-09-REG;Sladjan;12.09.2026;1.4.0-rc1;Windows Node.js 20+;Alice darf ihren eigenen Task bearbeiten;HTTP 200 und Status wurde auf DONE geändert;PASS;;Evidenz/npm_test_vor_fix.txt
TC-09-RETEST;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Node.js 20+;Bob darf Alices Task nicht bearbeiten;Berechtigungsprüfung liefert false und API verweigert die Bearbeitung;PASS;DEF-02;Evidenz/npm_test_nach_DEF02_fix.txt
TC-09-REG;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Node.js 20+;Alice darf ihren eigenen Task weiterhin bearbeiten;Alice kann t1 erfolgreich auf DONE setzen;PASS;;Evidenz/npm_test_nach_DEF02_fix.txt
TC-08;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Alice darf nur eigene Tasks sehen;HTTP 200 enthält t1 von Alice und t2 von Bob;FAIL;DEF-01;Evidenz/API-06-alice-sieht-fremde-tasks.png
TC-07;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Zugriff mit ungültigem Token wird abgewiesen;HTTP 401 mit Nicht authentifiziert und ohne Taskdaten;PASS;;Evidenz/API-05-token-ungueltig.png
TC-09;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Bob darf Alices Task t1 nicht bearbeiten;HTTP 403 mit Zugriff verweigert und keine Änderung durchgeführt;PASS;DEF-02;Evidenz/API-07-bob-fremder-task.png und Evidenz/API-07-bob-token.png
